ECM File Output,,,,,
Filename (includes date): 2025-09-08-10-32-dic13-170.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 2breaks, crater on bottom piece,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 33.41241015624998,,,,,
Y Right: 106.94491406249993,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 178.7359375,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 188.7359375,,,,,
X max Position (raw - not laser corrected): 945.5078125,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
49.412,87.75,0.0,4.50701e-08,--,na
49.412,88.0,0.0,4.46726e-08,--,na
49.412,88.25,0.0,4.38108e-08,--,na
49.412,88.5,0.0,4.434e-08,--,na
49.412,88.75,0.0,4.39475e-08,--,na
49.412,89.0,0.0,4.30991e-08,--,na
49.412,89.25,0.0,4.390105e-08,--,na
49.412,89.5,0.0,4.29208e-08,--,na
49.412,89.75,0.0,4.26303e-08,--,na
49.412,90.0,0.0,4.1839849999999995e-08,--,na
49.412,90.25,0.0,4.16475e-08,--,na
49.412,90.5,0.0,4.37046e-08,--,na
49.412,90.75,0.0,4.11513e-08,--,na
49.412,91.0,0.0,4.12844e-08,--,na
49.412,91.25,0.0,4.018985e-08,--,na
49.412,91.5,0.0,4.03136e-08,--,na
49.412,91.75,0.0,4.072225e-08,--,na
49.412,92.0,0.0,3.88417e-08,--,na
49.412,92.25,0.0,3.9602450000000004e-08,--,na
49.412,92.5,0.0,3.90501e-08,--,na
49.412,92.75,0.0,3.900155e-08,--,na
49.412,93.0,0.0,3.77796e-08,--,na
49.412,93.25,0.0,3.863645e-08,--,na
49.412,93.5,0.0,3.80601e-08,--,na
49.412,93.75,0.0,3.859245e-08,--,na
49.412,94.0,0.0,3.776895e-08,--,na
49.412,94.25,0.0,3.81805e-08,--,na
49.412,94.5,0.0,3.68699e-08,--,na
