ECM File Output,,,,,
Filename (includes date): 2025-09-09-10-07-dic-161.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 1break, took the two good sections in middle for scan, left out junk above and below,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 28.034753906249986,,,,,
Y Right: 102.18092578124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 130.5625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 133.553125,,,,,
X max Position (raw - not laser corrected): 803.0359375,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
44.035,79.5,0.0,3.36949e-08,--,na
44.035,79.75,0.0,3.58379e-08,--,na
44.035,80.0,0.0,3.5762450000000004e-08,--,na
44.035,80.25,0.0,3.4855e-08,--,na
44.035,80.5,0.0,3.5576e-08,--,na
44.035,80.75,0.0,3.636575e-08,--,na
44.035,81.0,0.0,3.67879e-08,--,na
44.035,81.25,0.0,3.50837e-08,--,na
44.035,81.5,0.0,3.672675e-08,--,na
44.035,81.75,0.0,3.68745e-08,--,na
44.035,82.0,0.0,3.64788e-08,--,na
44.035,82.25,0.0,3.712675e-08,--,na
44.035,82.5,0.0,3.67731e-08,--,na
44.035,82.75,0.0,3.6576499999999997e-08,--,na
44.035,83.0,0.0,3.7359250000000004e-08,--,na
44.035,83.25,0.0,3.69162e-08,--,na
44.035,83.5,0.0,3.741685e-08,--,na
44.035,83.75,0.0,3.6986e-08,--,na
44.035,84.0,0.0,3.6683250000000005e-08,--,na
44.035,84.25,0.0,3.61823e-08,--,na
44.035,84.5,0.0,3.699035e-08,--,na
44.035,84.75,0.0,3.631e-08,--,na
44.035,85.0,0.0,3.633045e-08,--,na
44.035,85.25,0.0,3.67062e-08,--,na
44.035,85.5,0.0,3.6099549999999995e-08,--,na
44.035,85.75,0.0,3.67817e-08,--,na
44.035,86.0,0.0,3.64319e-08,--,na
44.035,86.25,0.0,3.67169e-08,--,na
44.035,86.5,0.0,3.69058e-08,--,na
44.035,86.75,0.0,3.7264400000000004e-08,--,na
44.035,87.0,0.0,3.69743e-08,--,na
44.035,87.25,0.0,3.78726e-08,--,na
44.035,87.5,0.0,3.68336e-08,--,na
44.035,87.75,0.0,3.7162100000000004e-08,--,na
44.035,88.0,0.0,3.729845e-08,--,na
44.035,88.25,0.0,3.68684e-08,--,na
44.035,88.5,0.0,3.7260949999999996e-08,--,na
44.035,88.75,0.0,3.80081e-08,--,na
44.035,89.0,0.0,3.7474900000000004e-08,--,na
44.035,89.25,0.0,3.83352e-08,--,na
44.035,89.5,0.0,3.89089e-08,--,na
44.035,89.75,0.0,3.8684449999999995e-08,--,na
44.035,90.0,0.0,3.908825e-08,--,na
44.035,90.25,0.0,3.91579e-08,--,na
44.035,90.5,0.0,3.924155e-08,--,na
44.035,90.75,0.0,3.971905e-08,--,na
44.035,91.0,0.0,4.041475e-08,--,na
44.035,91.25,0.0,4.10767e-08,--,na
44.035,91.5,0.0,4.0582950000000004e-08,--,na
44.035,91.75,0.0,4.13106e-08,--,na
44.035,92.0,0.0,4.149865e-08,--,na
44.035,92.25,0.0,4.15439e-08,--,na
44.035,92.5,0.0,4.23763e-08,--,na
44.035,92.75,0.0,4.256055e-08,--,na
44.035,93.0,0.0,4.27672e-08,--,na
44.035,93.25,0.0,4.3381e-08,--,na
44.035,93.5,0.0,4.33713e-08,--,na
44.035,93.75,0.0,4.35264e-08,--,na
44.035,94.0,0.0,4.35159e-08,--,na
44.035,94.25,0.0,4.368645e-08,--,na
44.035,94.5,0.0,4.41817e-08,--,na
44.035,94.75,0.0,4.420475e-08,--,na
44.035,95.0,0.0,4.4274099999999995e-08,--,na
44.035,95.25,0.0,4.38352e-08,--,na
44.035,95.5,0.0,4.431125e-08,--,na
44.035,95.75,0.0,4.422325e-08,--,na
44.035,96.0,0.0,4.41805e-08,--,na
44.035,96.25,0.0,4.387365e-08,--,na
44.035,96.5,0.0,4.37218e-08,--,na
44.035,96.75,0.0,4.4048600000000004e-08,--,na
44.035,97.0,0.0,4.37426e-08,--,na
44.035,97.25,0.0,4.32714e-08,--,na
44.035,97.5,0.0,4.3331700000000004e-08,--,na
44.035,97.75,0.0,4.304075e-08,--,na
44.035,98.0,0.0,4.20182e-08,--,na
44.035,98.25,0.0,4.157125e-08,--,na
44.035,98.5,0.0,4.23817e-08,--,na
44.035,98.75,0.0,4.072275e-08,--,na
44.035,99.0,0.0,4.166745e-08,--,na
44.035,99.25,0.0,4.07909e-08,--,na
44.035,99.5,0.0,4.066205e-08,--,na
44.035,99.75,0.0,4.0113750000000004e-08,--,na
44.035,100.0,0.0,3.91483e-08,--,na
44.035,100.25,0.0,3.897175e-08,--,na
44.035,100.5,0.0,3.8704300000000003e-08,--,na
44.035,100.75,0.0,3.81441e-08,--,na
44.035,101.0,0.0,3.771715e-08,--,na
44.035,101.25,0.0,3.69422e-08,--,na
44.035,101.5,0.0,3.808265e-08,--,na
44.035,101.75,0.0,3.7951700000000005e-08,--,na
44.035,102.0,0.0,3.64578e-08,--,na
44.035,102.25,0.0,3.557415e-08,--,na
44.035,102.5,0.0,3.5713849999999997e-08,--,na
44.035,102.75,0.0,3.57275e-08,--,na
44.035,103.0,0.0,3.52858e-08,--,na
44.035,103.25,0.0,3.508765e-08,--,na
44.035,103.5,0.0,3.44765e-08,--,na
44.035,103.75,0.0,3.4508149999999995e-08,--,na
44.035,104.0,0.0,3.38001e-08,--,na
44.035,104.25,0.0,3.34611e-08,--,na
44.035,104.5,0.0,3.35691e-08,--,na
44.035,104.75,0.0,3.3004849999999995e-08,--,na
44.035,105.0,0.0,3.27707e-08,--,na
44.035,105.25,0.0,3.24478e-08,--,na
44.035,105.5,0.0,3.2321749999999996e-08,--,na
44.035,105.75,0.0,3.17158e-08,--,na
44.035,106.0,0.0,3.15953e-08,--,na
44.035,106.25,0.0,3.142315e-08,--,na
44.035,106.5,0.0,3.08069e-08,--,na
44.035,106.75,0.0,2.99975e-08,--,na
