ECM File Output,,,,,
Filename (includes date): 2025-09-08-14-24-dic13a-177.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: redo for x axis alignment, 3 breaks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 37.366277343749985,,,,,
Y Right: 113.18230078124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 29.103125000000002,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 36.30625,,,,,
X max Position (raw - not laser corrected): 898.6828125000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
53.366,68.25,0.0,4.34846e-08,--,na
53.366,68.5,0.0,4.3919600000000004e-08,--,na
53.366,68.75,0.0,4.36013e-08,--,na
53.366,69.0,0.0,4.28981e-08,--,na
53.366,69.25,0.0,4.35913e-08,--,na
53.366,69.5,0.0,4.3220549999999996e-08,--,na
53.366,69.75,0.0,4.293e-08,--,na
53.366,70.0,0.0,4.33125e-08,--,na
53.366,70.25,0.0,4.340505e-08,--,na
53.366,70.5,0.0,4.38419e-08,--,na
53.366,70.75,0.0,4.40301e-08,--,na
53.366,71.0,0.0,4.3764e-08,--,na
53.366,71.25,0.0,4.3158149999999997e-08,--,na
53.366,71.5,0.0,4.35e-08,--,na
53.366,71.75,0.0,4.29314e-08,--,na
53.366,72.0,0.0,4.2789049999999996e-08,--,na
53.366,72.25,0.0,4.2401e-08,--,na
53.366,72.5,0.0,4.287125e-08,--,na
53.366,72.75,0.0,4.31848e-08,--,na
53.366,73.0,0.0,4.34686e-08,--,na
53.366,73.25,0.0,4.341705e-08,--,na
53.366,73.5,0.0,4.39156e-08,--,na
53.366,73.75,0.0,4.2945350000000004e-08,--,na
53.366,74.0,0.0,4.25042e-08,--,na
53.366,74.25,0.0,4.2806149999999995e-08,--,na
53.366,74.5,0.0,4.3350300000000004e-08,--,na
53.366,74.75,0.0,4.28889e-08,--,na
53.366,75.0,0.0,4.42001e-08,--,na
53.366,75.25,0.0,4.40275e-08,--,na
53.366,75.5,0.0,4.249055e-08,--,na
53.366,75.75,0.0,4.3241e-08,--,na
53.366,76.0,0.0,4.26154e-08,--,na
53.366,76.25,0.0,4.1552800000000004e-08,--,na
53.366,76.5,0.0,4.22793e-08,--,na
53.366,76.75,0.0,4.22764e-08,--,na
53.366,77.0,0.0,4.32831e-08,--,na
53.366,77.25,0.0,4.280595e-08,--,na
53.366,77.5,0.0,4.23335e-08,--,na
53.366,77.75,0.0,4.12548e-08,--,na
53.366,78.0,0.0,4.22085e-08,--,na
53.366,78.25,0.0,4.1967e-08,--,na
53.366,78.5,0.0,4.1332249999999996e-08,--,na
53.366,78.75,0.0,4.13154e-08,--,na
53.366,79.0,0.0,4.1226e-08,--,na
53.366,79.25,0.0,4.12274e-08,--,na
53.366,79.5,0.0,4.121975e-08,--,na
